name,proto,anim,tang,gender,unique,possessable,count,tags,complements,inflections,prohibitions,disabled
apocalypse,,0,1,,1,0,FALSE,event,,,,
arm,,0,2,,0,8,TRUE,-,,,,
category,,0,0,,0,3,TRUE,-,,,,
color,,0,1,,0,2,TRUE,-,,,,
dirt,,0,2,,0,3,FALSE,-,,,,
house,,0,2,,0,5,TRUE,"place,hasHeight",,,,
idea,,0,0,,0,4,TRUE,-,,,,
Japan,,0,1,,2,0,FALSE,place,,,,
law,,0,0,,0,2,TRUE,readable,,,,
Les Miserables,,0,0,,2,0,FALSE,readable,,,,
letter,,0,2,,0,4,TRUE,readable,,,,
letter1,letter,,,,,0,,,"0.5, from NP{anim:3;number:sg}",,,
New York,,0,1,,2,0,FALSE,place,,,,
poison,,0,2,,0,2,TRUE,-,,,,
sensation,,0,1,,0,1,TRUE,-,,,,
Taj Mahal,,0,2,,1,0,FALSE,place,,,,
toy,,0,2,,0,3,TRUE,-,,,,
truth,,0,0,,0,0,FALSE,-,,,,
Christmas,,0,0,,2,0,FALSE,event,,,,
carpet,,0,2,,0,1,TRUE,rideable,,,,
computer,,0,2,,0,1,TRUE,-,,,,
garbage,,0,2,,0,3,FALSE,collective,,,,
Nile,,0,1,,1,0,FALSE,-,,,,
North,,0,1,,1,0,FALSE,place,,,,
picture,,0,2,,0,3,TRUE,-,"0.5, of NP",,,
bicycle,,0,2,,0,5,TRUE,"rideable,hasHeight",,,,
tendency,,0,0,,0,5,TRUE,-,"0.8, INF_PHRASE",,case:nom,
tendency1,tendency,,,,,0,,,"1, of INF_CLAUSE",, ,
fact,,0,0,,0,0,TRUE,information,,,case:nom,
concert,,0,0,,0,0,TRUE,event,,,,
rock,,0,2,,,3,TRUE,-,,,,
wind,,0,1,,0,1,FALSE,-,,,,
storm,,0,1,,0,1,TRUE,"weather, event",,,,
weather,,0,1,,0,0,FALSE,weather,,,,
sky,,0,1,,0,0,FALSE,-,,,,
Borg,Canuck,2,,,,,,,,pl:Borg,,
Godzilla,Jack,2,,,,,,,,,,
Fido,,2,2,m,2,0,FALSE,animal,,,,
zombie,,2,2,,0,3,TRUE,-,,,,
dog,,2,2,,0,3,TRUE,"hasHeight, rideable",,,,
communist,,3,2,,0,2,TRUE,-,,,,
