name,disabled,proto,rank,anim,tang,tags,size,perm,opposite,complements,prohibitions
wooden,,,-2,<2,2,,,TRUE,non-,,
Canadian,,,-1,>0,,,,TRUE,non-,,
red,,,0,>0,>0,,,TRUE,,,
old,,,1,,,,,TRUE,,,
normal,,,5,,,,,TRUE,ab,,
regular,,normal,,,,,,,ir,,
fuzzy,,,1,"1,2","0,2",,,TRUE,,,
oblong,,,1,<2,2,,>0,TRUE,,,
nervous,,,1,3,,,,TRUE,,(about NP),
angry,,,1,3,,,,TRUE,,(20 that SENTENCE   | 20 at NP   | 20 with NP{anim:>2}),
furious,,angry,,,,,,,,,
cranky,,angry,,,,,,,,,
grumpy,,angry,,,,,,,,,
calm,,angry,,,,,,,,,
calm1,,calm,,0,,bodyOfWater|terrain|manyOtherThings,,,,,
peaceful,,calm1,,,,place,>7,,,,
tranquil,,peaceful,,,,,,,,,
dark,,peaceful,,,,,,,,,
cold,,peaceful,,,,,,,,,
warm,,peaceful,,,,,,,,,
hot,,peaceful,,,,,,,,,
humid,,peaceful,,,,,,,,,
lost,,,1,,>0,,,TRUE,,,
friendly,,shy,,>1,,,,,un,,
shy,,,2,>1,,,,,,,
naive,,,2,3,,,,,,,
pretentious,,,2,3,,,,,un,,
ugly,,,2,>0,,,,TRUE,,,
hungry,,,2,>1,,,,TRUE,,( for NP{nodeterminer:true,(number:pl|count:false)} )
tired,,,2,>1,,,,TRUE,,(25 of NP   | 25 of GP),
happy,,,3,>1.5,,,,TRUE,un,(that CLAUSE),
clever,,,3,>1.5,,,,,,,
outrageous,,,3,,,,,,,,
boring,,,5,,,,,,,,
fake,,,4,>0,,,,TRUE,,,
shiny,,,1,<2,2,,,TRUE,,,
bad,,,5,,,,,,,,
special,,,5,,,,,TRUE,un,,
perfect,,,5,,,,,TRUE,im,,
delicious,,,5,,,food,,TRUE,,,
familiar,,,5,3,,,,TRUE,un,with NP,
familiar1,,,5,,,,,TRUE,,,copulant:true
big,,,6,,>0,,>0,TRUE,,,
big.1,,big,,,,collective,,,,,
strange,,,6,,,,,,,,
average,,,6,,,,,TRUE,,,
nice,,,7,,,,,,,,
blue,,red,,,,,,,,,
black,,red,,,,,,,,,
colourful,,red,,,,,,,,,
colourless,,red,,,,,,,,,
green,,red,,,,,,,,,
feisty,,shy,,,,,,,,,
absent-minded,,shy,,3,,,,,,,
violent,,shy,,,,,,,,,
confident,,clever,,3,,,,,,,
famous,,,6,,,,,TRUE,,,
infamous,,famous,,,,,,,,,
illiterate,,,1,3,,,,TRUE,,,
tall,,,4,,,hasHeight,,TRUE,,,
disorganized,,,4,,,collective,,TRUE,,,
disorganized.1,,disorganized,,,,--,,,,,number:sg
disorganized1,,,4,3,,,,TRUE,,,
emotional,,,2,3,,,,,un,( about NP ),
beautiful,,,3,,>1,,,TRUE,,,
well-written,,,2,,,readable,,TRUE,,,
incoherent,,,2,,,readable,,TRUE,,,
incoherent1,,incoherent,2,3,,,,,,,
accurate,,,3,,,readable|information,,TRUE,in,,
dangerous,,,4,,,,,,,,
simple,,,4,,,,,TRUE,,,
alive,,,,>0,,,,,,,copulant:false
ill,,,,>1,,,,,,,copulant:false
eastern,,,0,,>0,,,TRUE,,,copulant:true
southern,,eastern,,,,,,,,,
desperate,,hungry,,,,,,,,,
awesome,,,5,,,,,,,,
upside-down,,,1,,>0,,,,,,
magical,,,4,,,,,,,,
mysterious,,,4,,,,,,,,
divine,,,4,,,,,TRUE,,,
blind,,,3,,,creature,,TRUE,,,
odd-shaped,,,1,,2,thing,,TRUE,,,
disgruntled,,,3,3,,,,,,,
tiny,,,5,,>0,,>0|<9,TRUE,,,
small,,big,5,,,,,,,,
large,,big,5.5,,,,,,,,
little,,big,0.5,,,,,,,,
enormous,,big,5,,,,,,,,
flamboyant,,,3,3,,,,,,,
conscientious,,,3,3,,,,,,,
invisible,,,1,,,,,TRUE,,,
wholesome,,,4,,,,,TRUE,un,,
wild,,,3,,,,,,,,
reckless,,,3,3,,,,,,,
ridiculous,,,5,,,,,,,,
dead,,,1.5,>1,,,,TRUE,un,,
screaming,,,1.5,3,,,,,,,copulant:true
dying,,,1.5,>1,,,,,,,copulant:true
offensive1,,offensive,,!3,,readable|information,,,,,
offensive,,,4,3,,,,,un,,
aware,,,,>1,,,,TRUE,un,(40 of NP   | 40 that SENTENCE),copulant:false
racist1,,offensive,,,,,,,--,,
classy,,,5,3,,,,TRUE,un,,
classy1,,classy,,0,2,,,,,,
mighty,,,5,>1,,,,TRUE,,,
fancy,,,5,<2,,,,TRUE,,,
Scandinavian,,Canadian,,,,,,,--,,
ancient,,old,2,,,,,,,,
vivacious,,shy,,,,,,,,,
middle-aged,,elderly,,,,,,,--,,
crafty,,shy,,,,,,,,,
twenty-something,,teenage,,,,,,,--,,
teenage,,elderly,,,,,,,--,,copulant:true
curious,,shy,,,,,,,,(35 about NP),
elderly,,old,,3,,,,,--,,
prepubescent,,elderly,,,,,,,,,
ethical,,,2,,,ABSTRACT,,TRUE,un,,
monstrous,,giant,,,,,,,--,,
Oriental,,Canadian,,,,,,,--,,
Roman,,Canadian,,,,,,,--,,
Martian,,Canadian,,,,,,,--,,
American,,Canadian,,,,,,,--,,
Mexican,,Canadian,,,,,,,--,,
plastic,,wooden,,,,,,,--,,
glad,,,,>1.5,,,,,,(THAT_CLAUSE),copulant:false
sorry,,glad,,,,,,,--,,
giant,,,4,,,,>1,TRUE,,,
talented,,friendly,,,,,,,un,,
manipulative,,honest,,,,,,,--,,
honest,,friendly,,3,,,,,dis,,
crotchety,,friendly,,,,,,,--,,
over-sized,,,2,,,,>0,TRUE,,,
moist,,,1,<2,,matter&!liquid,,,,,
imaginary,,,2,,,,,TRUE,,,
mythical,,,1.9,,,,,TRUE,,,
elusive,,,3,,,!fixed,,,,,
wimpy,,mighty,,,,,,,--,,
rowdy,,friendly,,,,,,,--,,
obese,,giant,,>1,,,,,--,,
juvenile,,old,,>1,,,,,--,,
difficult,,,4,,,situation|difficulty|act|procedure|performance,,,,,
tricky,,difficult,,,,,,,--,,
easy,,difficult,,,,,,,--,,
annoying,,,4,,,,,,,,
unorthodox,,difficult,3,,,volitional,,,--,,
unorthodox,,,3,3,,,,TRUE,,,
trivial,,difficult,,,,,,,--,,
tedious,,difficult,,,,,,,,,
successful,,,3,,,telic|procedure|occasion,,,un,,
vexing,,,1.5,,,difficulty,,,,,
responsible,,reckless,,,,,,,ir,,
logical,,,3,,,person|information,,TRUE,il,,
decent,,,3,,,,,,in,,
proud,,,5,3,,,,,,(of NP),
intense,,,4,,,energy|undertaking|behaviour|happening,,,,,
epic,,awesome,,,,,,,,,
lonely,,sad,2.9,,,,,FALSE,--,--,
sad,,happy,,,,,,,--,,
obnoxious,,friendly,,,,,,TRUE,--,,
treacherous,,friendly,,,,,,TRUE,--,,
treacherous1,,dangerous,,,,path|behaviour|manner|intention,,TRUE,,,
long,,tall,,,,hasDuration|hasLength|path,,TRUE,,,
short,,tall,,,,,,TRUE,,,
short1,,long,,,,,,TRUE,,,
new,,old,,,,,,TRUE,,,
puny,,giant,,,,,,TRUE,,,
pathetic,,mysterious,,,,,,TRUE,,,
fast,,,4,,,creature|vehicle|machine|path&!vertical,,TRUE,,,
slow,,fast,,,,,,TRUE,,,
sick,,,2,,,creature,,FALSE,,,
sick1,,tired,,,,,,FALSE,,,
diseased,,sick,,,,,,FALSE,,,
healthy,,sick,,,,,,FALSE,un,,
fat,,obese,,,,,,,,,
empty,,,4,,,container,,FALSE,,,
full,,empty,,,,,,,,,
cluttered,TRUE,,,,,,,,,,
messy,TRUE,,,,,,,,,,
dirty,,,2,,,object,,FALSE,,,
shiny,,dirty,,,,item|solid,,,,,
stinky,TRUE,,,,,,,,,,
flat,TRUE,,,,,,,,,,
straight,TRUE,,,,,,,,,,
crooked,,,,,,,,,,,
busy,,friendly,,,,,,,,,
neat,TRUE,,,,,,,,,,
sweet,,delicious,4,,,,,,,,
sour,,sweet,,,,,,,,,
salty,,sweet,,,,,,,,,
bitter,,sweet,,,,,,,,,
tangy,,sweet,,,,,,,,,
spicy,,sweet,,,,,,,,,
tasty,,sweet,,,,,,,,,
careful,TRUE,,,,,,,,,,
reasonable,TRUE,,,,,,,,,,
wise,TRUE,,,,,,,,,,
smart,TRUE,,,,,,,,,,
intelligent,TRUE,,,,,,,TRUE,,,
stupid,TRUE,,,,,,,,,,
idiotic,TRUE,,,,,,,TRUE,,,
dumb,TRUE,,,,,,,,,,
tight,TRUE,,,,,,,,,,
loose,TRUE,,,,,,,,,,
skinny,TRUE,,,,,,,TRUE,,,
edible,TRUE,,,,,,,TRUE,,,
sturdy,,,3,,,structure,,TRUE,,,
marvelous,,awesome,,,,,,,,,
wonderful,,awesome,,,,,,,,,
spectacular,,awesome,,,,,,,,,
decrepit,,old,5,,,artifact|person,,,,,
dilapidated,,,5,,,structure,,TRUE,,,
flimsy,,,,,,construction,,TRUE,,,
well-built,,,5,,,construction,,TRUE,,,
high-end,,,,,,device,,TRUE,,,
custom,,,2,,,artifact,,TRUE,,,copulant:true
aging,,dying,,--,,artifact|lifeform,,,,,
senile,,old,,,,person|beast,,,,,
feeble,,,2,,,creature,,TRUE,,,
vigorous,TRUE,,2,,,,,,,,
impromptu,,,1,,,occasion,,FALSE,,,
modern,,,2,,,,,TRUE,,,
bespectacled,,,1,,,person|beast,,TRUE,,,copulant:true
well-dressed,,bespectacled,,,,person,,,,,
depressed,,,3,,,person|beast,,FALSE,,,
heartbroken,,depressed,,,,,,,,,
naughty,,noble,,,,,,FALSE,,,
wicked,,noble,,3,,,,,,,
noble,,,,>1.5,,,,TRUE,,,
