name,proto,anim,tang,gender,possessable,posr,unique,count,size,tags,precomp,complements,inflections,prohibitions,disabled
Nile,river,,,,,,1,FALSE,,,,,,,
Outback,forest,,,,,,1,FALSE,10,,,,,,
apocalypse,,0,1,,0,,1,FALSE,,event,,,,,
North,,0,1,,0,,1,FALSE,,place,,,,,
Taj Mahal,,0,2,,0,,1,FALSE,8,building,,,,,
Canuck,,3,1,,0,,1,TRUE,,-,,,,number:sg,
Loch Ness monster,dog,,,,,,1,,7,waterAnimal,,,,,
Jack,,3,2,m,0,,2,FALSE,6,"person, firstname",(10 TITLE{unpack:noun.tags-gender}),,,,
Sally,,3,2,f,0,,2,FALSE,6,"person, firstname",(10 TITLE{unpack:noun.tags-gender}),,,,
Pope,Jack,,,,,,1,,,,,,,,
Popemobile,car,,,,,,1,,,,,,,,
Sahara Desert,Outback,,,,,,1,,,,,,,,
Christmas,,0,0,,0,,2,FALSE,,event,,,,,
dancing,,0,0,,0,,2,FALSE,,activity,,,,,
Fido,dog,,,m,0,,2,FALSE,,,,,,,
city,,0,1,,2,tags: person,0,TRUE,9,city,,,,,
town,city,,,,,,,,,,,,,,
village,city,,,,,,,,,,,,,,
neighborhood,city,,,,,,,,,,,,,,
ghetto,city,,,,,,,,,,,,,,
country,,0,1,,2,tags: person,0,TRUE,11,country,,,,,
province,country,,,,,,,,,,,,,,
state,country,,,,,,,,,,,,,,
Japan,country,,,,0,,2,FALSE,,,,,,,
London,city,,,,0,,2,FALSE,,,,,,,
The Iliad,,0,0,,0,,2,FALSE,0,readable,,,,,
Stonehenge,Taj Mahal,,,,,,2,,,"structure, -",,,,,
Buckingham Palace,Taj Mahal,,,,,,2,,,,,,,,
vibration.1,vibration,,,,,,,FALSE,,,,,,,
work.1,task,,,,,,,FALSE,,,,,,,
cattle,,2,2,,4,,0,0.5,6,collective,,,pl:cattle,number:sg,
Alp,Outback,,,,,,,TRUE,,,,,,number:sg,
coin,,0,2,,4,,0,TRUE,3,artifact,,,,,
disaster,,0,0,,1,,0,TRUE,0,happening,,,,,
situation,,0,0,,4,,0,TRUE,0,situation,,,,,
crisis,situation,,,,1,,,TRUE,,,,,pl:crises,,
problem,,0,0,,6,,0,TRUE,0,difficulty,,,,,
question,,0,0,,6,,0,TRUE,0,"difficulty,information,speechAct",,(40 about NP),,,
task,,0,0,,6,,0,TRUE,0,"difficulty,undertaking",,,,,
journey,,0,0,,4,,0,TRUE,0,"undertaking,accomplishment",,,,,
vibration,,0,0,,3,,0,TRUE,0,"behaviour,feelable,phenomenon",,,,,
strategy,,0,0,,6,,0,TRUE,0,procedure,,(25 for GP),,,
forest,,0,1,,1,,0,TRUE,9,terrain,,,,,
apple,,0,2,,4,,0,TRUE,4,food,,,,,
life,,0,0,,0,,0,FALSE,0,property,,,pl:lives,"def:def,quantified:true",
color.1,color,,,,,,,FALSE,,,,,,,
dirt,,0,2,,3,,0,FALSE,0,"aggregate, semisolid",,,,,
garbage,,0,2,,3,,0,FALSE,0,aggregate,,,,,
light,,0,1,,0,,2,FALSE,0,energy,,,,,
sky,,0,1,,0,,1,FALSE,0,"thing, volume, elevated",,,,,
truth,,0,0,,0,,1,FALSE,0,concept,,,,,
weather,,0,1,,0,,1,FALSE,0,weather,,,,,
wind,,0,1,,1,,0,FALSE,0,"phenomenon, visible",,,,,
fact,,0,0,,0,,0,TRUE,0,information,,,,case:nom,
arm,,0,2,,8,,0,TRUE,5,breakable,,,,,
bicycle,,0,2,,5,,0,TRUE,5,"hasHeight, nonMotorVehicle",,,,,
carpet,,0,2,,1,,0,TRUE,7,"rideable, artifact, surface, grounded",,,,,
category,,0,0,,3,,0,TRUE,0,-,,,,,
color,,0,1,,2,,0,TRUE,0,"property,PHYSICAL",,,,,
party,,0,0,,0,,0,TRUE,0,occasion,,,,,
dinner,party,,,,,,,,,,,,,,
potluck,party,,,,,,,,,,,,,,
BBQ,party,,,,,,,,,,,,,,
concert,party,,,,,,,,,performance,,,,,
funeral,party,,,,,,,,,,,,,,
meeting,party,,,,,,,,,,,,,,
intervention,party,,,,,,,,,,,,,,
Bible study,party,,,,,,,,,,,,,,
bake sale,party,,,,,,,,,,,,,,
farmer's market,party,,,,,,,,,,,,,,
beauty pageant,concert,,,,,,,,,,,,,,
dog,,2,2,,3,,0,TRUE,5,beast,,,,,
ghost,,3,1,,2,,0,TRUE,5,-,,,,,
house,,0,2,,5,,0,TRUE,8,building,,,,,
building,house,,,,3,,,,,,,,,,
church,house,,,,4,tags: organization|city,,,,,,,,,
